% Model:              3D_7lay_aniso_h.mph
% Version:            COMSOL 5.2.1.152
% Date:               Nov 22 2018, 15:33
% Dimension:          1
% Nodes:              100
% Expressions:        11
% Description:        Temperature
% cln1x                   T (K) @ t=0              T (K) @ t=3              T (K) @ t=6              T (K) @ t=9              T (K) @ t=12             T (K) @ t=15             T (K) @ t=18             T (K) @ t=21             T (K) @ t=24             T (K) @ t=27             T (K) @ t=30
10                        293.15005797944985       320.5736184752321        334.9892637911062        344.62173671289804       351.58659124935883       356.85235687476563       360.9689685570392        364.27275233368727       366.9787907645212        369.23012686901546       371.1255820259735
10.8                      293.1500192705975        318.8065588232902        333.1714811257621        342.8275027973145        349.82468768541753       355.122538772371         359.26877196210086       362.5991059727846        365.3285883997588        367.600461828243         369.5138352854425
11.6                      293.14999333980546       317.09082577808505       331.3903094935377        341.0622101805371        348.08701777985823       353.4138596260804        357.58757899209246       360.94292549713316       363.6947010831298        365.9862213477688        367.9168047415286
12.4                      293.14998018707405       315.42641933961676       329.6457488944332        339.32585886256595       346.3735815326811        351.726319435894         355.92538964701436       359.3042109067332        362.0771288146344        364.3874054275929        366.33449039423186
13.200000000000001        293.14997981240305       313.81333950788525       327.93779932844853       337.61844884340104       344.6843789438862        350.05991820181197       354.2822039268665        357.68296220158476       360.4758715942725        362.8040140677152        364.76689224355255
14                        293.1499851153501        312.2498376747334        326.2632415365492        335.9363204474257        343.01556325796514       348.41072468010725       352.65405510066927       356.0752014471203        358.88695212548805       361.23207604151173       363.2100472676124
14.8                      293.150004399334         310.74050157458635       324.62726687680623       334.2847474009231        341.37240035355524       346.7839712245891        351.04613564319806       354.4860822311443        357.31548886950054       359.6766792227761        361.66901720528347
15.600000000000001        293.1500101919342        309.8379946636811        323.6351715509217        333.27832673411757       340.3686683958986        345.7889185312557        350.06183269154764       353.5128349114186        356.3527812874798        358.72364366613647       360.72467386820256
16.4                      293.15000846536594       309.15242610313356       322.869565760195         332.4966063363048        339.58628251053966       345.01166157196093       349.29194841871487       352.7509268119931        355.5986638444604        357.9767721546476        359.9843667779622
17.2                      293.15000692887617       308.49451145886064       322.12630727879804       331.7333723820847        338.81985864699595       344.248658013978         348.53511210124736       352.0011813120403        354.8560347685323        357.24085948756044       359.25459209011285
18                        293.15000558246425       307.86425073086207       321.40539610673085       330.9886248714571        338.0693968052674        343.4999078573068        347.791323739145         351.26359841155994       354.1248940596955        356.5159056648746        358.53534980465463
18.799999999999997        293.1500044261307        307.261643919138         320.7068322439936        330.2623638044221        337.3348969853543        342.76541110194745       347.060583332408         350.53817811055245       353.4052417179501        355.8019106865905        357.82663992158774
19.6                      293.15000306770185       306.68760247107144       320.03176826619324       329.55579483216445       336.6175806194676        342.04639189249446       346.3441123626279        349.82613713977685       352.69828916717654       355.10008081863907       357.1296639951777
20.4                      293.15000173135394       306.1414999898761        319.37939773108184       328.8680471164492        335.91654777431114       341.34193677307564       345.640991448618         349.12655397717447       352.00311460608174       354.4094948563651        356.44350178728666
21.200000000000003        293.15000060782677       305.62287288311484       318.74913164104663       328.19849928713205       335.231165538644         340.65140920774223       344.95058391543165       348.4387933232021        351.31908467825934       353.72952149912726       355.76752395633633
22                        293.1499996971201        305.1317211507876        318.14096999608734       327.54715134421326       334.56143391246627       339.9748091964943        344.272889763069         347.76285517786005       350.6461993837095        353.06016074692576       355.10173050232675
22.799999999999997        293.1499989992341        304.6680447928944        317.55491279620423       326.9140032876928        333.9073528957781        339.31213673933195       343.6079089915298        347.09873954114823       349.9844587224322        352.40141259976053       354.44612142525784
23.599999999999998        293.1499985141687        304.23184380943525       316.9909600413973        326.2990551175707        333.2689224885792        338.66339183625496       342.95564160081443       346.4464464130666        349.33386269442724       351.75327705763135       353.80069672512974
24.4                      293.1499982419239        303.82311820041014       316.4491117316663        325.7023068338468        332.6461426908698        338.02857448726354       342.3160875909227        345.80597579361523       348.6944112996949        351.1157541205384        353.16545640194227
25.2                      293.1499981824998        303.4418679658192        315.9293678670115        325.1237584365214        332.03901350264994       337.4076846923576        341.68924696185456       345.177327682794         348.06610453823504       350.4888437884818        352.5404004556956
26                        293.1499983358964        303.08809310566215       315.43172844743265       324.56340992559427       331.4475349239195        336.8007224515371        341.0751197136101        344.56050208060304       347.4489424100476        349.8725460614614        351.9255288863896
26.8                      293.1499987021135        302.7617936199392        314.9561934729299        324.02126130106546       330.8717069546785        336.2076877648022        340.4737058461893        343.95549898704235       346.84292491513287       349.2668609394772        351.3208416940244
27.599999999999998        293.14999928115134       302.4629695086504        314.5027629435033        323.497312562935         330.3115295949268        335.6285806321527        339.8850053595921        343.3623184021117        346.24805205349054       348.6717884225293        350.7263388785998
28.4                      293.15000007300966       302.19162077179544       314.0714368591526        322.99156371120273       329.7670028446646        335.0634010535886        339.3090182538185        342.7809603258114        345.6643238251205        348.0873285106174        350.14202044011597
29.2                      293.15000107768867       301.9477474093747        313.66221521987814       322.504014745869         329.2381267038919        334.5121490291101        338.7457445288686        342.21142475814133       345.09174023002316       347.5134812037418        349.5678863785729
30                        293.1500000000374        297.6882667340715        306.092705685773         313.3078471170082        319.16813673856217       323.9596533320884        327.92632791017587       331.2460942148745        334.04886997707604       336.43175843407516       338.4691256410259
30.8                      293.15000000002345       297.3381328899464        305.45587285514364       312.528111984107         318.31106381940447       323.05954459142964       327.0021537044314        330.3085447725152        333.10401730409495       335.4830636434803        337.51856161099425
31.6                      293.15000000001197       297.0077577196486        304.84154682132777       311.7690444025909        317.47271680278965       322.1765503109434        326.0937797511564        329.3857137392714        332.17298249503426       334.5474299512248        336.58041783722484
